	GeoArea_FIPS	GeoArea_Key	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
16332	37101	FIPS_37101	Johnston County	North Central		   Management of companies and enterprises	2009	40947.0
16333	37101	FIPS_37101	Johnston County	North Central		   Administrative and support and waste management and remediation services	2009	98163.0
16334	37101	FIPS_37101	Johnston County	North Central		   Educational services	2009	7728.0
16335	37101	FIPS_37101	Johnston County	North Central		   Health care and social assistance	2009	180367.0
16336	37101	FIPS_37101	Johnston County	North Central		   Arts, entertainment, and recreation	2009	7770.0
16337	37101	FIPS_37101	Johnston County	North Central		   Accommodation and food services	2009	99113.0
16338	37101	FIPS_37101	Johnston County	North Central		  Other services (except government and government enterprises)	2009	111617.0
16339	37101	FIPS_37101	Johnston County	North Central		Government and government enterprises	2009	574927.0
16340	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Agriculture, forestry, fishing and hunting	2009	22121.0
16341	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Mining, quarrying, and oil and gas extraction	2009	0.0
16342	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Utilities	2009	440.0
16343	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Construction	2009	4826.0
16344	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Manufacturing	2009	3157.0
16345	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Wholesale trade	2009	3546.0
16346	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Retail trade	2009	5490.0
16347	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Transportation and warehousing	2009	4112.0
16348	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Information	2009	
16349	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	   Real estate and rental and leasing	2009	
16350	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Professional and business services	2009	4435.0
16351	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	   Management of companies and enterprises	2009	
16352	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	   Administrative and support and waste management and remediation services	2009	1997.0
16353	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	   Educational services	2009	86.0
16354	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	   Health care and social assistance	2009	18103.0
16355	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	   Arts, entertainment, and recreation	2009	
16356	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	   Accommodation and food services	2009	
16357	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Other services (except government and government enterprises)	2009	5547.0
